entity_id,state,last_changed
sensor.kostal_kwh,2.104,2026-07-10T13:50:04.791Z
sensor.kostal_kwh,2.092,2026-07-10T13:51:10.125Z
sensor.kostal_kwh,2.077,2026-07-10T13:52:10.442Z
sensor.kostal_kwh,2.076,2026-07-10T13:53:10.781Z
sensor.kostal_kwh,2.069,2026-07-10T13:54:11.102Z
sensor.kostal_kwh,2.059,2026-07-10T13:55:12.987Z
sensor.kostal_kwh,2.048,2026-07-10T13:56:11.822Z
sensor.kostal_kwh,2.035,2026-07-10T13:57:12.421Z
sensor.kostal_kwh,2.0180000000000002,2026-07-10T13:58:12.740Z
sensor.kostal_kwh,2.007,2026-07-10T13:59:14.783Z
sensor.kostal_kwh,1.999,2026-07-10T14:00:13.442Z
sensor.kostal_kwh,1.987,2026-07-10T14:01:13.760Z
sensor.kostal_kwh,1.972,2026-07-10T14:02:14.068Z
sensor.kostal_kwh,1.968,2026-07-10T14:03:14.456Z
sensor.kostal_kwh,1.948,2026-07-10T14:04:14.765Z
sensor.kostal_kwh,1.937,2026-07-10T14:05:15.169Z
sensor.kostal_kwh,1.932,2026-07-10T14:06:15.464Z
sensor.kostal_kwh,1.924,2026-07-10T14:07:15.778Z
sensor.kostal_kwh,1.9180000000000001,2026-07-10T14:08:16.164Z
sensor.kostal_kwh,1.905,2026-07-10T14:09:16.484Z
sensor.kostal_kwh,1.8940000000000001,2026-07-10T14:10:16.800Z
sensor.kostal_kwh,1.8820000000000001,2026-07-10T14:12:17.498Z
sensor.kostal_kwh,1.858,2026-07-10T14:13:17.882Z
sensor.kostal_kwh,1.85,2026-07-10T14:14:18.197Z
sensor.kostal_kwh,1.842,2026-07-10T14:15:23.511Z
sensor.kostal_kwh,1.831,2026-07-10T14:16:23.885Z
sensor.kostal_kwh,1.818,2026-07-10T14:17:24.193Z
sensor.kostal_kwh,1.804,2026-07-10T14:18:24.511Z
sensor.kostal_kwh,1.806,2026-07-10T14:19:24.861Z
sensor.kostal_kwh,1.7870000000000001,2026-07-10T14:20:25.179Z
sensor.kostal_kwh,1.7850000000000001,2026-07-10T14:21:25.585Z
sensor.kostal_kwh,1.774,2026-07-10T14:22:25.903Z
sensor.kostal_kwh,1.754,2026-07-10T14:23:26.219Z
sensor.kostal_kwh,1.748,2026-07-10T14:24:26.607Z
sensor.kostal_kwh,1.741,2026-07-10T14:25:26.921Z
sensor.kostal_kwh,1.73,2026-07-10T14:26:27.245Z
sensor.kostal_kwh,1.723,2026-07-10T14:27:27.572Z
sensor.kostal_kwh,1.713,2026-07-10T14:28:27.887Z
sensor.kostal_kwh,1.701,2026-07-10T14:29:28.299Z
sensor.kostal_kwh,1.692,2026-07-10T14:30:28.656Z
sensor.kostal_kwh,1.683,2026-07-10T14:31:28.973Z
